Gene	RASMC_RNA_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
Hes7	0.819421335277866	0.330092449287514	0.93923608091882	2.79336352374753	0.817125587767566
Hesx1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hexa	144.002347511964	157.441420565134	124.962699733589	190.865328542545	86.5265242400794
Hexb	168.610837330351	158.531229748024	142.213239620454	146.011786098869	128.248489604586
Hexdc	13.336395201481	6.06496044113884	11.942615173658	13.3025861560339	12.3540439587696
Hexim1	38.2045581226102	22.7371956694401	98.4745856035484	59.1297150734341	171.553300758819
Hexim2	3.61307405269252	1.54941177706802	0.408029875554813	5.30120287150053	1.3958887002715
Hey1	0.34617150496298	0.224659536138766	1.78828893366552	0.648387574464409	0.193686478491825
Hey2	56.0529290594668	26.6546881718777	29.1338700037126	57.0411628860886	47.0310007351355
Heyl	0.271161192456548	0.505119268121463	0.093011501774014	0.268602095285827	0.121055248385114
Hfe	2.55276313426518	3.39037959349067	1.64885822972466	2.95177735148849	0.0802558267040955
Hfe2	0.119931812298915	0.151137131354921	0.171716031659421	0.178546974846036	0.0953422645320664
Hfm1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hgd	0.103434540450923	0.10442242907218	0.0970267827800906	0.150190221059931	0.244877011863515
Hgf	0.103780808775835	0.103677115408337	0.0975877659218824	0.133812890312778	0.0954499862595548
Hgfac	0.138274759671311	0.200669887621965	0.215312875685937	0.107478481022809	0.096422206232583
Hgs	40.7027838446593	66.3996000977702	57.7176251641607	76.3659389474145	63.5413694664769
Hhatl	0.170200546775061	2.88131440216612	6.26415405177488	0.746722903962899	0.220465435678494
Hhex	0.107008466460191	0.149643931335851	0.297834233566462	0.303104926640479	0.244467591619832
Hhip	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hiat1	0.575667413696357	0.926377685081509	0.493298161873103	1.42871627688613	0.187155944421069
Hiatl1	18.9226457534542	20.386773767846	15.9599154420651	23.2298493112214	16.924086424491
Hibadh	43.5135162358403	30.2782054197175	34.2155299715282	47.9646980412218	45.6505213906869
Hibch	12.2815234810703	8.89585478285365	3.4431316125916	15.3994418636699	5.0576487840888
Hic1	0.888945796020187	3.25728717549682	0.750179697649593	6.76404381893013	1.49468541852881
Hic2	0.607342388839213	1.5413387402796	0.795029675505538	0.599393594198875	0.606694949944799
Hid1	8.68520907139277	14.3293013317177	15.7973696542326	32.0103424002448	14.7245672440994
Hif1a	29.2325623691084	42.6990195322028	30.7249779598339	48.7358646438642	33.3689112616932
Hif1an	8.16028030022942	15.2663433213242	12.6768635197902	14.1746356414154	9.44223313007735
Hif3a	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Higd1a	25.3104581183168	48.1790479987185	40.773229321303	53.8706724548217	34.9825010912733
Higd1b	0.263783882908826	0.105653943840193	0.0985120861107733	0.142681959046766	0.0957946435733068
Higd2a	83.1096915740206	79.8125913947147	72.0495223829098	107.712230488017	93.3195118925863
Hils1	0.103575640846861	0.104150143339968	0.0975107075471289	0.184655111109809	0.0951239902437045
Hint1	364.770173019895	371.276080221172	333.583470625965	479.247398711636	390.456744229677
Hint2	58.3387715270642	54.9941976550153	44.0860803096336	96.02551621208	83.3365027647743
Hint3	12.400985081425	6.40446632758007	5.83106339647361	23.6541064855483	14.6540650867932
Hip1	39.281657076029	64.6198663875613	40.0988693254008	81.1319262446081	29.1587650577767
Hip1r	16.5755872394236	91.6530142705965	82.1613930137831	26.7132652120131	34.8622341255473
Hipk1	17.1267179184255	20.1135613915338	17.8415098356555	23.037299611091	14.7009402011689
Hipk2	2.24070216175076	10.5842067005856	8.15706676933719	5.24263128689614	2.98672151499917
Hipk3	14.9593188032291	20.8740094654242	15.3125558707275	15.6969828530715	10.9331087581196
Hipk4	1.09938389282034	2.40437738591204	1.27994087505313	1.24317085241366	0.570847396602766
Hira	0.85043107919246	0.542395346241384	0.511181104485953	1.31399992922484	0.392715800681779
Hirip3	18.5561318708919	12.3429358576142	5.05738283629453	9.86237797352679	6.9081291507558
Hist1h1a	0.518421275006824	0.113092368157859	0.145783918123309	1.48968438369687	0.577175052510945
Hist1h1b	0.860975484215214	0.582324573355841	0.467268357624716	0.604262251591414	2.16957273854581
Hist1h1d	2.15389698149827	2.03878374388593	2.54701056206464	0.348764527245274	2.2106018768306
Hist1h1t	0.34585690854766	1.57938092714542	5.95441739096159	0.24655478111227	2.24067252838223
Hist1h2aa	1.94052533474463	0.224465818883756	1.53417848498062	0.287557491849135	1.66776813348809
Hist1h2af	2.93499343250684	0.951322920577313	4.97010519452227	2.3663804412059	1.58928508729467
Hist1h2ail1	3.65901587899147	0.982435419875545	7.16054208705635	3.03218796818938	2.95646512858069
Hist1h2ak	4.8570720930467	1.84918233492699	3.93937895097667	3.16161175625307	2.43970048437805
Hist1h2an	1.29047642693128	1.48644838686457	3.46331776496587	0.95148801692687	0.985265985127454
Hist1h2ba	0.101220575052879	0.104014659616796	0.945828030219344	0.101755404090362	0.0932930804670164
Hist1h2bd	0.10470394314047	0.108754581822917	0.916706456065148	0.109544569144625	1.63077964539386
Hist1h2bh	92.5861466320194	92.9389364470705	340.053827364777	113.216514654296	424.265038908611
Hist1h2bk	32.9667554382901	37.797612761542	86.0937657639407	31.3833864099216	151.897759230533
Hist1h2bl	0.10810037737191	0.246300072228209	3.01121360648928	0.44910398312288	1.26915794081118
Hist1h2bo	0.103491858871409	0.115028397849739	4.11846895516596	0.485679341189732	2.13406120326153
Hist1h4b	7.05364646856078	6.28883598653358	34.5372220393803	10.2749680606806	37.3951622999435
Hist1h4m	0.608975118022044	0.122510809650187	0.715502832076635	0.316360541827987	0.808385521420535
Hist2h2ab	0.256587647480301	0.114492551062358	4.06523959586428	0.116245825335678	0.666249781668247
Hist2h3c2	0.10891066942549	0.114151248146688	0.343376453993678	0.114632916241764	1.12972506163738
Hist2h4	0.395620756162125	0.116944712124597	0.360686874273041	0.120216818165079	5.32128458425487
Hist3h2a	13.6287503203963	8.18614498189211	38.2552047172467	15.894720828626	24.7715664121587
Hist3h2ba	0.107880605570637	0.255775800773418	0.455391124780831	0.11113829417089	0.0976024216110046
Hist3h2bb	0.105334782474891	0.219416700560605	0.19531144703902	0.105011399806438	0.0963122112150739
Hist3h3	0.106898362888747	0.244882025076312	1.09342706552222	0.322132185040164	0.344757044093984
Hivep1	6.09885170549368	9.64354883295129	12.6100442932033	3.22371922342427	4.16252562880753
Hivep2	1.79100672870735	12.0623309514098	5.69634079518797	3.6825562032421	3.08705774052
Hivep3	0.869818189012322	60.7784629262858	12.2658137058438	1.77531326471937	1.86064855876985
Hjurp	8.21288213904026	4.83212648965891	1.40949984962647	2.9443009805688	0.225894929876337
Hk1	51.4726930011619	97.9537845072644	68.5461505427761	117.378157880026	57.2907867275078
Hk2	11.8692189410642	179.569427863355	90.2260678247779	25.3335801411206	21.2726631459158
Hk3	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hltf	10.1180874167937	6.57642705808791	2.49467577654684	11.8626806091875	4.42231278114477
Hlx	3.66973159052722	4.33392140123984	4.3538846320946	5.50160439682226	2.1747507318579
Hm13	69.0980474534295	105.63188331481	76.2423045458737	143.980223331932	135.246007461672
Hmbs	19.7628973767364	14.1695715932451	5.15776864149687	34.6543605164049	21.1006705271804
Hmces	4.02251329677894	5.49456230782287	9.69020182514464	10.5988805548485	11.0081223424232
Hmcn1	0.129408528886572	0.263098960642231	0.137753465127409	0.11138897058353	0.0930953713663469
Hmg1l1	0.273548444465196	0.171903594912144	0.267877232368003	0.135234906681121	0.109413866811227
Hmg20a	16.8029653465988	10.2550357226301	6.28439012707083	22.0629183697801	14.9636109992972
Hmg20b	37.8277032665569	32.9198621486825	33.194262162583	48.3997214626176	78.6659759720797
Hmga1	72.7118818103046	1683.65822204001	2394.46253631842	1553.72075902559	2215.17797920541
Hmga2	1.63011736000634	17.9226353747375	8.70688346980436	24.4503168294361	9.39729425549362
Hmgb1	0.168687931657759	0.136386610869806	0.206061827782307	0.106791502803264	0.0964096559989268
Hmgb1-ps2	0.172406859815251	0.105829792766594	0.098318285826735	0.138314145151333	0.149083874716946
Hmgb2	26.0904499454186	8.66110273135038	4.1100326183709	5.83040074065778	1.495025781252
Hmgb3	0.364726334071602	0.290557987062468	0.281896647241704	0.305651885676106	0.143433989910692
Hmgb4	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hmgcl	12.9518127293136	10.8552480119792	12.2581145021598	25.7988371431856	22.4740732056794
Hmgcll1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hmgcr	44.0469238814339	89.857208026854	77.8741372569966	48.9099047659319	32.0182722719699
Hmgcs1	152.725030197317	125.457960578947	85.0206932662184	149.862585151901	62.30676779617
Hmgcs2	0.10547151429795	0.429022750038323	0.144418989409151	0.200723442568313	0.0952122808323083
Hmgn1	17.7490474787436	24.4539017559383	20.3088944741289	16.9415440420045	10.6789928615872
Hmgn2	128.389297690495	131.644772542592	108.785157163582	95.5270484549036	66.5371779133151
Hmgn3	128.127122679565	96.9707770918274	69.5687867053452	82.4645400441589	37.515472625892
Hmgn5	0.111043373350427	0.109721878928378	0.103921244877995	0.51202434757754	0.101670966078029
Hmgn5b	1.56289847906215	0.593851860102207	0.925412574990871	1.11013025236946	1.03262066553149
Hmgxb4	5.63148447615413	2.86347254175428	4.54189849113069	6.95386612837958	5.92503243245898
Hmha1	0.227791890767816	0.113722155433389	0.0949118565578883	0.426133903562052	0.170661887327523
Hmmr	26.5364226241621	12.8441443169887	8.03623302734154	8.94643194180117	1.22929541746467
Hmox1	24.3992633325807	243.837461245098	130.595299164034	59.4250738248594	150.616998427877
Hmox2	22.6714081499492	30.0884284852209	30.7886046121829	32.1117313920495	42.91023314254
Hmox2-ps1	0.573052357716805	0.585505078499731	0.878795907064981	1.06257888215889	0.789824475337767
Hmx1	0.104060865435866	0.147168033337864	0.09787223838252	0.101814860408799	0.0956833418067112
Hmx2	1.3390533910184	0.499961157035563	0.247232312937384	2.00295838409346	0.0970030053992302
Hmx3	0.153343304578616	0.316868834044916	0.0975778514598379	0.132360726038212	0.300492026847821
Hn1	96.6297521480891	114.507547078935	186.424937643543	117.276534968372	169.548969756466
Hn1l	41.8582483446608	56.1032773879466	35.2406785568653	44.7240177252503	28.898891754682
Hnf1a	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hnf1b	6.00383928458325	7.55674194650112	1.37579251957683	11.5094160029309	2.03769482270953
Hnf4a	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hnf4g	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
