BRD4_UNSTIM	BRD4_2H	BRD4_24H
Msantd4	868.1937	764.8809	1103.9616
Mtfmt	3808.86525	3632.771	4978.26715
Mtif2	1860.0642	1848.6337	2170.99965
Mtm1	1085.0107	738.2853	1416.2827
Mtmr14	861.23385	504.56465	934.57975
Mtmr4	7604.2959	7075.2274	8980.2515
Mtmr9	1611.73155	2007.03755	2044.0298
Mtor	1234.9366	1825.5035	1402.91645
Mtss1l	7632.2405	5379.7779	12042.1434
Mum1	3474.25365	4040.81665	5395.44225
Mus81	38511.2382	46993.7818	57090.41955
Mvd	2478.20605	2517.2917	3638.7588
Myo18a	9967.4328	9284.78665	16761.9009
Mzf1	2893.1788	2669.2445	4065.648
Mzt2b	2237.59785	1995.99075	2206.97135
Naa60	3101.29015	3163.78185	4144.42515
Nacc2	9171.99955	8479.24165	14894.28095
Nadk	2964.24385	2812.52345	3634.75355
Nagpa	1500.4635	1290.1281	1833.36565
Napg	961.6977	938.0001	1189.2092
Narf	4006.02115	3816.16675	5169.88165
Narfl	4663.66905	5608.0974	7674.7141
Nat1	1705.21265	1513.27195	1888.28405
