BRD4_UNSTIM	BRD4_2H	BRD4_24H
Psme2	2131.3959	1968.4989	2851.85905
Pter	2017.3987	2695.2854	3072.85285
Ptgs1	469.08865	1134.53395	1162.83545
Ptms	5228.96005	5407.53775	8401.3219
Ptprn	6789.7487	6348.56915	10565.1138
Pvrl1	1478.1138	1541.9146	2556.0288
Pxn	22815.65195	28291.94965	36154.1605
Qsox1	677.52955	571.69995	865.4239
R3hdm1	5690.8379	5369.11485	8177.4466
Rab11a	2845.89635	3053.64385	3300.4489
Rab1a	4051.46225	4154.34325	5243.5641
Rab20	3316.169	3675.61185	5055.27225
Rab31	9108.23825	10377.63355	12914.8397
Rab34	3197.6858	3380.58375	4293.33475
Rab7a	4151.03635	4922.2651	5120.4305
Rarg	8893.1477	8135.4922	14556.4381
Rasa1	3041.1	4440.0529	2907.0883
Rbm42	2334.11025	2085.9596	2967.3314
Reep5	3818.5646	3794.4452	6442.43535
Rfx1	2113.7325	2079.93185	2927.9593
RGD1309676	653.51185	674.45015	906.93995
RGD1359127	4201.1291	4258.97875	6507.0332
RGD1563888	1033.2605	1148.96765	1182.66905
RGD1564450	4476.82635	6508.1455	8157.59445
RGD1566265	931.8786	1502.5904	768.3278
Rgs17	4108.03635	5466.2592	4386.7099
Rgs3	6158.8357	5530.5948	7853.41965
Rhog	5388.72635	4762.5457	7244.55595
Ric8a	9053.2212	9194.41405	13305.92755
Rnf10	7287.0557	6013.0043	11382.4515
Rnf115	3562.7761	3958.9138	3377.2169
Rnf7	3770.07605	3828.48545	5555.03425
Rnh1	12109.08555	12828.10195	16408.13185
Rpl37	2483.379	2643.37105	2764.56785
Rpn1	4620.02915	5087.75875	5876.1092
Rpn2	4052.2545	3339.38325	3470.7323
Rpp38	3378.2318	4015.64835	4233.40015
Rps6ka3	567.89715	430.0647	886.20125
Rps6kc1	2697.11665	2750.5056	4156.33735
Rraga	2445.6536	2549.6825	3184.08485
Rragc	1728.37105	2040.96345	2097.76555
Rtn4	6727.09335	7819.7137	7000.2686
Runx2	7303.15305	8916.42625	10279.20225
S100a13	2777.45975	2365.31895	3238.0092
Sbf1	2250.0883	2131.34085	3353.07715
Scamp3	3625.8736	3535.5495	4929.21745
Scamp4	5607.91185	5553.02895	8199.1247
Scara3	5521.87495	5786.9522	8880.4937
Scarb1	3536.2214	4377.3621	4826.01295
Scfd1	1423.06025	1170.1132	1350.37215
Scly	2793.16315	2713.8412	4223.16465
Sdcbp	5360.8913	5447.73195	6537.26465
Sdf2	5204.2566	5939.4793	6565.19425
Sdf4	3000.61085	2701.5105	3625.996
Selm	4032.29975	3530.95045	5823.6999
Sept9	23394.10535	22849.4422	37807.87305
Serinc2	3761.45825	3961.29725	5454.1435
Sfrp4	2477.4034	2554.25655	3260.47155
Sfxn1	2735.23915	3144.8954	3528.44395
Sgpl1	723.62625	776.00795	1151.42065
Sgta	1515.25655	1633.98475	2247.27215
Sh3bgrl3	3068.27995	3006.1327	4918.26415
Sh3bp5	14992.1921	20456.27775	21130.1455
Sh3glb1	6927.766	8066.40515	10746.3213
Shc1	8562.83565	8081.17835	12700.5521
Shc2	2204.01405	2305.3066	3544.31515
Shc4	2815.57935	3414.5228	3724.27245
Shfm1	1355.1845	1745.82485	1419.70015
Shisa5	2248.80825	2102.97805	3594.0809
Shkbp1	5478.81425	5639.3535	8811.6041
Shpk	2735.6363	2738.2192	3608.34115
Sipa1	12065.69385	12560.21555	16403.09245
Six1	4338.91165	4430.22155	6819.13725
Slain2	3231.6601	3456.735	4322.28355
Slc16a3	6253.56565	5897.1082	7872.0683
Slc20a2	6360.21	9761.454	6932.2253
Slc25a1	2582.0295	3076.53965	3802.3525
Slc25a37	6189.70345	6745.07245	8731.9011
Slc27a4	3527.23065	3506.0498	4988.4447
Slc35e3	9080.9941	8900.26995	12649.47165
Slc35f5	4659.3147	4425.8665	4219.77965
Slc35f6	2627.6009	2913.0365	3619.36115
Slc39a1	6339.22705	6535.9824	8428.22555
Slc39a13	6654.3888	6194.0798	9446.05925
Slc39a14	4915.13775	5481.3109	7209.5063
Slc39a6	2848.2616	3400.07845	3381.95475
Slc41a1	1091.15555	867.70225	1675.78505
Slc4a2	5952.18275	6598.58975	9594.8522
Slc6a8	1862.28885	1508.76255	2567.25435
Slc9a3r2	5961.97085	5623.3679	8704.41885
Slco2a1	3944.2681	3929.0738	6096.7152
Smim3	7387.30645	8609.0215	9796.3569
Smoc2	969.2649	1130.28915	1344.0591
Snf8	3267.14655	3273.0367	4159.54265
Snrpd2	4270.9571	4855.60615	5239.4757
Snx24	16206.8014	17573.4938	16568.00295
Sod3	4734.4031	5061.1921	6357.0515
Spata2L	3939.69245	4249.14405	5887.99485
Spcs1	3283.64015	3657.24485	3409.53765
Spp1	21141.6559	27256.02105	25678.183
Spred3	2318.12795	2407.00675	3667.286
Sptlc1	909.7187	1098.2321	1167.3362
Sqstm1	4282.5181	3986.4506	6465.4701
Sra1	6622.47805	6951.66495	9835.35365
Srgn	1423.43545	1159.72815	1766.65185
Srp14	4397.1162	3232.14525	7887.01085
Srp68	3512.92305	3500.13855	5775.0605
Srprb	565.1476	649.7732	817.0318
Ssbp4	4544.16245	4927.18345	7598.69965
Ssc5d	3103.125	2700.46675	5013.94715
Ssr1	1599.2243	1700.94715	1958.73145
Ssx2ip	1905.51265	2489.08435	2772.76575
St3gal4	7998.5663	7904.19675	11389.96765
Stambpl1	10851.4247	10624.02005	12222.7057
Stim2	4804.58885	5068.8298	5703.41685
Stip1	7133.5808	7944.06795	9874.73765
Stk11	20243.70955	21381.9528	35887.4317
Stt3a	1997.65965	2032.8179	2498.1619
Stx18	3203.2611	2343.29395	3284.37135
Sufu	9040.553	10776.3184	12813.77495
Swi5	2684.6897	2985.26785	3475.4452
Sympk	5512.78185	5611.4977	8167.61385
Synm	2515.7152	2367.27645	4938.80045
Sytl1	1126.81645	1066.4523	1555.2152
Taldo1	7328.10515	7944.3934	10578.63265
Tapbpl	1975.7498	2010.87565	2778.14215
Tbc1d2b	2918.8113	2258.6634	4114.73535
Tbca	1583.12435	1607.3839	1587.51235
Tbce	2477.46825	2195.8569	2298.8731
Tbpl1	8605.17905	6794.47185	12351.88685
Tcerg1	7486.5589	10468.4608	10251.37125
Tfpt	2280.96085	2547.0158	2882.2618
Tgfb1	9485.0345	9349.55605	17286.32035
Tgfbr1	1303.73005	969.6132	1773.5562
Tgfbr3	482.5695	578.0091	778.8915
