brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Pla2g4a	3570.68715	4218.70125	3202.87425	5995.47025	6365.47875	4690.4486	10.8203813370562	17.7333890904458	41.9441910663547	-0.397431769117494	-0.440543113448758	1.24200274170401
Nckap1	2941.71	3592.34295	2728.20135	11644.2894	15000.3882	9572.4155	144.083850952698	139.150429148511	167.390932958953	-0.396974962531781	-0.648044912256843	0.266576025709009
Hsd11b1	5743.01975	8745.25465	6649.54445	11139.64235	14851.7549	13262.84385	2.79606970032337	0.44345954518731	6.4105521371297	-0.395244886894391	-0.163243256895147	3.85357421559589
Ripk1	2078.6283	2714.35385	2064.5343	5953.44515	6289.7933	4501.40905	9.94115258574718	21.853238735293	12.8851553008972	-0.394792418845714	-0.482635936325909	-0.762137182937308
N6amt1	23397.0811	24307.6503	18497.1702	88467.3471	33708.82095	41332.66085	6.2203620757895	5.80216365464721	15.1131311918885	-0.394105865822659	0.294156075937122	1.3811397005388
Rassf9	4064.9962	4324.73475	3292.577	11053.2755	7066.0417	8184.85805	8.61580841362168	7.24622742124966	11.4654345049932	-0.393394470647333	0.212055132986663	0.661989039415827
Bmper	7485.0102	11504.4764	8762.9655	19606.54695	24189.2221	20116.4418	20.8040838468376	27.4980491414828	8.50384890334661	-0.3927042399944	-0.265989230965433	-1.69314140141514
Mab21l1	2685.7184	3468.79205	2649.0329	18201.3517	19254.816	15444.66095	8.04053836247098	17.1061237946872	8.94457998951823	-0.38896759379443	-0.318111136284299	-0.93542724135967
Hacd1	6355.36525	7343.04215	5620.5375	13459.8417	17488.30155	11023.69065	53.1398523283267	65.61335229164	42.0712125120006	-0.385669777226843	-0.665782874266096	-0.641156034747928
Tcea1	6536.5796	7946.06255	6084.11405	11052.44795	11112.35055	9605.1761	46.3206735781234	50.0695740295288	39.1205402563669	-0.385192952698382	-0.210280046958506	-0.356007887533799
Sema3c	3115.43605	3708.5088	2839.5563	8792.7622	8069.5641	6982.56415	58.1537726379413	62.2523379638541	39.2427752909861	-0.385173676000306	-0.208733821563543	-0.665700946302473
Serpine1	18002.48055	30713.748	23569.48975	56323.38965	80910.18505	46398.498	92.3847451180248	2620.87625716101	138.284019275324	-0.381964048813527	-0.802243218328384	-4.24434289254605
Vegfc	6988.37975	7370.06435	5657.6195	18967.32565	14437.81155	15935.9557	88.4968304538987	83.5997172355777	96.0932327373775	-0.381482063573328	0.142433463581547	0.200936771729952
Mtor	1234.9366	1825.5035	1402.91645	3374.7837	6868.27265	3633.9064	8.705227500532	5.46620336537517	13.4214141697907	-0.379865342303027	-0.918426051210103	1.29592565133208
Pls3	4602.20695	5194.86935	4006.8402	18350.53625	16804.1354	13807.61305	448.453353257527	418.731118833851	354.257253074001	-0.374622492432463	-0.283352376016939	-0.241226747577921
